Barcode,Treatment,Accession,Smarthouse,Position,NapDW,Na_mM,KpDW,K_mM,NapK
51053,S,M261,NE,L1P1,0.46,59.13,1.55,200.17,0.3
51055,S,M083,NE,L1P3,0.62,62.76,1.43,145.8,0.43
51057,S,M073,NE,L1P5,0.44,44.38,1.84,187.33,0.24
51059,S,M271,NE,L1P7,0.35,41.7,1.61,193.45,0.22
51061,S,M170,NE,L1P9,0.47,58.88,1.41,174.83,0.34
51064,S,M052,NE,L1P12,0.43,58.11,1.45,194.75,0.3
51065,S,M185,NE,L1P13,0.46,56.31,1.62,198.58,0.28
51068,S,M140,NE,L1P16,0.43,49.81,1.61,185.82,0.27
51070,S,M067,NE,L1P18,0.18,20.42,1.83,210.44,0.1
51071,C,M167,NE,L1P19,0.28,32.16,1.53,175.95,0.18
51072,S,M167,NE,L1P20,0.51,62.37,1.52,184.59,0.34
51074,C,M050,NE,L1P22,0.29,33.4,1.59,183.49,0.18
51075,S,M050,NE,L1P23,1.07,104.67,1.61,156.94,0.67
51077,S,M166,NE,L1P25,0.45,61.92,1.27,173.51,0.36
51079,S,M043,NE,L2P2,0.47,51.52,1.61,174.46,0.3
51081,S,M074,NE,L2P4,0.41,46.13,1.46,165.23,0.28
51083,S,M120,NE,L2P6,0.4,46.95,1.58,186.4,0.25
51084,S,M256,NE,L2P7,0.36,45.39,1.33,169.72,0.27
51086,S,M065,NE,L2P9,0.34,43.56,1.52,196.16,0.22
51088,S,M028,NE,L2P11,0.4,49.31,1.54,190.58,0.26
51090,S,M006,NE,L2P13,0.37,40.16,1.78,193.03,0.21
51092,S,M276,NE,L2P15,0.37,39.21,1.7,180.9,0.22
51094,S,M189,NE,L2P17,0.43,54,1.65,208.11,0.26
51098,S,M023,NE,L2P21,0.44,54.35,1.5,187,0.29
51099,C,M023,NE,L2P22,0.27,30.09,1.49,165.04,0.18
51100,C,M217,NE,L2P23,0.11,12.66,1.91,217.93,0.06
51101,S,M217,NE,L2P24,0.16,20.02,1.63,202.18,0.1
51103,C,M085,NE,L3P1,0.27,34.44,1.39,178.22,0.19
51104,S,M085,NE,L3P2,0.34,47.5,1.28,179.15,0.27
51106,S,M130,NE,L3P4,0.61,68.22,1.62,180.55,0.38
51107,C,M130,NE,L3P5,0.41,42.1,1.98,203.47,0.21
51110,S,M142,NE,L3P8,0.46,54.45,1.55,181.72,0.3
51112,S,M096,NE,L3P10,0.47,53.95,1.47,168.07,0.32
51115,S,M117,NE,L3P13,0.41,49.16,1.53,182.2,0.27
51117,S,M003,NE,L3P15,0.44,52.29,1.6,192.19,0.27
51118,S,M102,NE,L3P16,0.3,38.79,1.42,181.09,0.21
51121,S,M250,NE,L3P19,0.46,55.5,1.34,160.29,0.35
51122,S,M292,NE,L3P20,0.48,54.53,1.6,181.88,0.3
51125,S,M289,NE,L3P23,0.65,79.92,1.59,194.08,0.41
51127,S,M051,NE,L3P25,0.47,56.99,1.51,183.34,0.31
51129,S,M252,NE,L4P2,0.4,49.26,1.4,173.27,0.28
51130,S,M193,NE,L4P3,0.55,67.44,1.5,182.9,0.37
51132,S,M211,NE,L4P5,0.55,62.57,1.48,167.73,0.37
51133,C,M211,NE,L4P6,0.31,32.76,1.59,166.05,0.2
51135,S,M033,NE,L4P8,0.56,55.46,1.99,196.25,0.28
51136,C,M033,NE,L4P9,0.31,28.39,1.81,165.99,0.17
51138,S,M171,NE,L4P11,0.41,47.03,1.49,171.31,0.27
51140,S,M005,NE,L4P13,0.41,49.21,1.48,177.34,0.28
51141,S,M223,NE,L4P14,0.29,38.08,1.65,219.37,0.17
51144,S,M147,NE,L4P17,0.88,84.21,1.65,157.98,0.53
51145,S,M143,NE,L4P18,0.37,42.69,1.43,163.54,0.26
51148,S,M177,NE,L4P21,0.38,48.95,1.39,179.62,0.27
51150,S,M178,NE,L4P23,0.94,103.97,1.62,179.35,0.58
51151,S,M035,NE,L4P24,0.57,60.23,1.59,169.1,0.36
51153,S,M108,NE,L5P1,0.54,64.42,1.36,163.24,0.39
51156,S,M172,NE,L5P4,0.34,43.2,1.54,196.32,0.22
51157,S,M045,NE,L5P5,0.44,56.37,1.26,159.19,0.35
51160,S,M008,NE,L5P8,0.25,34.45,1.53,214.67,0.16
51161,C,M125,NE,L5P9,0.3,34.79,1.46,168,0.21
51162,S,M125,NE,L5P10,0.48,63.15,1.37,179.65,0.35
51164,S,M247,NE,L5P12,0.36,48.55,1.47,200.88,0.24
